taxonID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo
uredinales-belgium-checklist:taxon:d620cbe6ee067694f32580d1215f2ed7,uredinales-belgium-checklist:taxon:8e9370683b1480ec3d7e39d16d93466c,uredinales-belgium-checklist:taxon:d620cbe6ee067694f32580d1215f2ed7,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
uredinales-belgium-checklist:taxon:27c73923ed486210e51244b3f12aed7d,uredinales-belgium-checklist:taxon:0bee6ec72dc4d3f7ddc234dc966fc7b9,uredinales-belgium-checklist:taxon:27c73923ed486210e51244b3f12aed7d,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
uredinales-belgium-checklist:taxon:97f3e49caadf7922d441f8eb6047497f,uredinales-belgium-checklist:taxon:3cd4f3e4b74481d93f48ac6d31e69dde,uredinales-belgium-checklist:taxon:97f3e49caadf7922d441f8eb6047497f,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
uredinales-belgium-checklist:taxon:c350f3f4b858d8159f4d561c6bc84e44,uredinales-belgium-checklist:taxon:3cd4f3e4b74481d93f48ac6d31e69dde,uredinales-belgium-checklist:taxon:c350f3f4b858d8159f4d561c6bc84e44,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
uredinales-belgium-checklist:taxon:ac820979a45a19fb30a5fd2c286bd1ed,uredinales-belgium-checklist:taxon:58fc7e96d6d62e80dc390c0317a34faa,uredinales-belgium-checklist:taxon:ac820979a45a19fb30a5fd2c286bd1ed,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
uredinales-belgium-checklist:taxon:8e836030e6420329d03eec88a9a015eb,uredinales-belgium-checklist:taxon:07251315bf7c6b820b6f9158f74ea94f,uredinales-belgium-checklist:taxon:8e836030e6420329d03eec88a9a015eb,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 15"
uredinales-belgium-checklist:taxon:0d942662f590a93b6ff69a2b077327ea,uredinales-belgium-checklist:taxon:58fc7e96d6d62e80dc390c0317a34faa,uredinales-belgium-checklist:taxon:0d942662f590a93b6ff69a2b077327ea,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 15"
uredinales-belgium-checklist:taxon:c85d4b75235e1afab252f5cf27b00deb,uredinales-belgium-checklist:taxon:7e25f02eca763ee3a75d82d1eac61a8e,uredinales-belgium-checklist:taxon:c85d4b75235e1afab252f5cf27b00deb,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
uredinales-belgium-checklist:taxon:da34f5ee1351a3ab5535f0daf8e9352e,uredinales-belgium-checklist:taxon:778ffdf5fa4a50bc4707f38c6be2cd3f,uredinales-belgium-checklist:taxon:da34f5ee1351a3ab5535f0daf8e9352e,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
uredinales-belgium-checklist:taxon:60b30961bbda77831a9fbc3296450f62,uredinales-belgium-checklist:taxon:778ffdf5fa4a50bc4707f38c6be2cd3f,uredinales-belgium-checklist:taxon:60b30961bbda77831a9fbc3296450f62,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
