taxonID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo
uredinales-belgium-checklist:taxon:1560bb880c41446e4c9a51de80c63a3b,uredinales-belgium-checklist:taxon:b7b5e14d67e82576b79db59193ad8f6e,uredinales-belgium-checklist:taxon:1560bb880c41446e4c9a51de80c63a3b,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 34"
uredinales-belgium-checklist:taxon:10c7f2b8f83c88167a923cf31e614f38,uredinales-belgium-checklist:taxon:a83994122a5ce73e6872ef731ba9e078,uredinales-belgium-checklist:taxon:10c7f2b8f83c88167a923cf31e614f38,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 35"
uredinales-belgium-checklist:taxon:fa33d8f5b70b9bac07fc493cdd639d0c,uredinales-belgium-checklist:taxon:dc34710327325f8a49266cbad46f438e,uredinales-belgium-checklist:taxon:fa33d8f5b70b9bac07fc493cdd639d0c,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 35"
uredinales-belgium-checklist:taxon:91f82b690a179c7d4c0aad0c6c7734bb,uredinales-belgium-checklist:taxon:f055c4e554e1d54f9fce39aee3c03d1f,uredinales-belgium-checklist:taxon:91f82b690a179c7d4c0aad0c6c7734bb,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 35"
uredinales-belgium-checklist:taxon:43aaf8c706e29def9b0bfd7db21232dd,uredinales-belgium-checklist:taxon:cbbd489117aaf331dc5e0373e0a6fbab,uredinales-belgium-checklist:taxon:43aaf8c706e29def9b0bfd7db21232dd,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 35"
uredinales-belgium-checklist:taxon:5c6ea6540be3cd92148d6d7a769a0375,uredinales-belgium-checklist:taxon:fd8c1acd72f0a23e0cdc3943e4ab0a46,uredinales-belgium-checklist:taxon:5c6ea6540be3cd92148d6d7a769a0375,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 36"
uredinales-belgium-checklist:taxon:cbafd2017bd6fe0dd03ef2f5e5bf8e01,uredinales-belgium-checklist:taxon:8437ae4f6443e47d36542d2793f1c848,uredinales-belgium-checklist:taxon:cbafd2017bd6fe0dd03ef2f5e5bf8e01,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 36"
uredinales-belgium-checklist:taxon:4ab23a18f52c322ac349dcf0462454c8,uredinales-belgium-checklist:taxon:455ff1257fd2dd774797e4d5104900c5,uredinales-belgium-checklist:taxon:4ab23a18f52c322ac349dcf0462454c8,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 36"
uredinales-belgium-checklist:taxon:2bbc8501bce8c57bc01d397abd3a0f67,uredinales-belgium-checklist:taxon:e3c16c0b0b7ed1f80bd6c608473d3252,uredinales-belgium-checklist:taxon:2bbc8501bce8c57bc01d397abd3a0f67,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 37"
uredinales-belgium-checklist:taxon:f29c639ed5c7c4c195ab86db4aad90fe,uredinales-belgium-checklist:taxon:836c8157c491cc7af1127fe25e32ded2,uredinales-belgium-checklist:taxon:f29c639ed5c7c4c195ab86db4aad90fe,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 38"
uredinales-belgium-checklist:taxon:4b4203ba3d61b299406d1e78f531e13b,uredinales-belgium-checklist:taxon:fe25f4440ae56b5459cc3bc3f067d620,uredinales-belgium-checklist:taxon:4b4203ba3d61b299406d1e78f531e13b,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 38"
uredinales-belgium-checklist:taxon:467ffec2a64cf70c1a3a640938d90c6b,uredinales-belgium-checklist:taxon:c1ba819d8f2aab2f5ca8b0068c756a55,uredinales-belgium-checklist:taxon:467ffec2a64cf70c1a3a640938d90c6b,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 38"
uredinales-belgium-checklist:taxon:4632d8cf175b57f86100315db4118d5b,uredinales-belgium-checklist:taxon:c1ba819d8f2aab2f5ca8b0068c756a55,uredinales-belgium-checklist:taxon:4632d8cf175b57f86100315db4118d5b,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 39"
uredinales-belgium-checklist:taxon:8c21cc4a18009d22c91b4823e1010f6d,uredinales-belgium-checklist:taxon:c3faf78b7c7bdbf4edf03d06dc4a41a9,uredinales-belgium-checklist:taxon:8c21cc4a18009d22c91b4823e1010f6d,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 39"
uredinales-belgium-checklist:taxon:1f4550cf2a72fb9e3b569ed24aa1608c,uredinales-belgium-checklist:taxon:0331f4569175db21a3bb0cf71048c51a,uredinales-belgium-checklist:taxon:1f4550cf2a72fb9e3b569ed24aa1608c,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 39"
uredinales-belgium-checklist:taxon:98497c8f87d38e44fe219a3a4d87fa98,uredinales-belgium-checklist:taxon:68745f3a18920347700b8d468d16d115,uredinales-belgium-checklist:taxon:98497c8f87d38e44fe219a3a4d87fa98,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 40"
uredinales-belgium-checklist:taxon:539f0ccb84e3d70e48792f426e2cdee5,uredinales-belgium-checklist:taxon:6c0df943d8cff7ba8fc53bdde4dba95b,uredinales-belgium-checklist:taxon:539f0ccb84e3d70e48792f426e2cdee5,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 40"
uredinales-belgium-checklist:taxon:7a9b385358e8cf4606864081d2cd49cb,uredinales-belgium-checklist:taxon:52d5ca17895bca3ea6926e49048d7217,uredinales-belgium-checklist:taxon:7a9b385358e8cf4606864081d2cd49cb,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 40"
uredinales-belgium-checklist:taxon:ab80257bb80b6614f2887c96b41a6acb,uredinales-belgium-checklist:taxon:53dba13d4d63d1976a8673193aba78f7,uredinales-belgium-checklist:taxon:ab80257bb80b6614f2887c96b41a6acb,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 41"
uredinales-belgium-checklist:taxon:7e9ffe279a213bdf0ca4903b67ee4633,uredinales-belgium-checklist:taxon:b20ff0afcbee4b4c4f3499c0ad7a686d,uredinales-belgium-checklist:taxon:7e9ffe279a213bdf0ca4903b67ee4633,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 41"
uredinales-belgium-checklist:taxon:6aa30042f5481082a0d4dbd455723bf7,uredinales-belgium-checklist:taxon:1c72712ba3213d4ff1894bdb2cbefb71,uredinales-belgium-checklist:taxon:6aa30042f5481082a0d4dbd455723bf7,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 42"
uredinales-belgium-checklist:taxon:082a5fb6c4f58196ce650263a94ae77c,uredinales-belgium-checklist:taxon:99c39deb9edd5939a6ad6c8c0c395116,uredinales-belgium-checklist:taxon:082a5fb6c4f58196ce650263a94ae77c,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 42"
uredinales-belgium-checklist:taxon:c7eb8e150b4bdbb0570146c9e5de313c,uredinales-belgium-checklist:taxon:94caf11071b5050938e41ce48e9e940f,uredinales-belgium-checklist:taxon:c7eb8e150b4bdbb0570146c9e5de313c,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 42"
uredinales-belgium-checklist:taxon:387590f9d4858a7f0ba22703093b8939,uredinales-belgium-checklist:taxon:3ccb06536e89e28b06e558b80ded4798,uredinales-belgium-checklist:taxon:387590f9d4858a7f0ba22703093b8939,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 42"
uredinales-belgium-checklist:taxon:0c303486749ec8bb3350ada9c428e61a,uredinales-belgium-checklist:taxon:cbbd489117aaf331dc5e0373e0a6fbab,uredinales-belgium-checklist:taxon:0c303486749ec8bb3350ada9c428e61a,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 42"
uredinales-belgium-checklist:taxon:29020f0be234a6522d6787f96791e429,uredinales-belgium-checklist:taxon:b0e264e83104c402862c125d09730df1,uredinales-belgium-checklist:taxon:29020f0be234a6522d6787f96791e429,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 43"
uredinales-belgium-checklist:taxon:197e90a4056455af0e065411bade8ef3,uredinales-belgium-checklist:taxon:6c8587abbe7a34371520916ab5c5c0bd,uredinales-belgium-checklist:taxon:197e90a4056455af0e065411bade8ef3,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 43"
uredinales-belgium-checklist:taxon:e459f3190910c993636808ec40e5f3c7,uredinales-belgium-checklist:taxon:45e5bd7f8db542284755c2cbc354bf41,uredinales-belgium-checklist:taxon:e459f3190910c993636808ec40e5f3c7,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 43"
uredinales-belgium-checklist:taxon:c09f1e3c6b556c3931af8ba97bdd39e6,uredinales-belgium-checklist:taxon:778ffdf5fa4a50bc4707f38c6be2cd3f,uredinales-belgium-checklist:taxon:c09f1e3c6b556c3931af8ba97bdd39e6,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 43"
uredinales-belgium-checklist:taxon:996272325d404ae40a3701fe28f3d058,uredinales-belgium-checklist:taxon:251f0afbc5a7d3fb1dfef5c7b8f6f939,uredinales-belgium-checklist:taxon:996272325d404ae40a3701fe28f3d058,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 44"
uredinales-belgium-checklist:taxon:b39a945f1a5c4d4ab16afddda8d2f51b,uredinales-belgium-checklist:taxon:ec3d3ea14ec5c29808fdda2f6a3647ac,uredinales-belgium-checklist:taxon:b39a945f1a5c4d4ab16afddda8d2f51b,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 44"
uredinales-belgium-checklist:taxon:8217f94838af436ef35a8bd7b1498711,uredinales-belgium-checklist:taxon:d70d4e0c91fe927dcff2721e47e0dc25,uredinales-belgium-checklist:taxon:8217f94838af436ef35a8bd7b1498711,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 45"
uredinales-belgium-checklist:taxon:03d3726301472c0ade293490fe5349ff,uredinales-belgium-checklist:taxon:d5263a57b9e42f4bea24c9df440608ee,uredinales-belgium-checklist:taxon:03d3726301472c0ade293490fe5349ff,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 45"
uredinales-belgium-checklist:taxon:fd5d76b3aa853e0c4c302e24f5da4a96,uredinales-belgium-checklist:taxon:1494b059eb808a8cf2fac2a539c0d10e,uredinales-belgium-checklist:taxon:fd5d76b3aa853e0c4c302e24f5da4a96,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 45"
uredinales-belgium-checklist:taxon:c3231b6e76272eac76dfadb248b26bbe,uredinales-belgium-checklist:taxon:f1a2ba31403efd3363b0960fba617b2c,uredinales-belgium-checklist:taxon:c3231b6e76272eac76dfadb248b26bbe,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 45"
uredinales-belgium-checklist:taxon:30a908b6fbff6506a31d123601d8122d,uredinales-belgium-checklist:taxon:19ad52d07b945b15334c2e2f276bc888,uredinales-belgium-checklist:taxon:30a908b6fbff6506a31d123601d8122d,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 46"
uredinales-belgium-checklist:taxon:4411649813786715e881dd8a80e86b56,uredinales-belgium-checklist:taxon:9585acb8472d6df1db3a3e7879314cfc,uredinales-belgium-checklist:taxon:4411649813786715e881dd8a80e86b56,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 46"
uredinales-belgium-checklist:taxon:bd22a773549c90cdfa223d3083e34e5b,uredinales-belgium-checklist:taxon:4203e540972494488a4f8c90add8d026,uredinales-belgium-checklist:taxon:bd22a773549c90cdfa223d3083e34e5b,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 46"
uredinales-belgium-checklist:taxon:a78e66106021bc74d36abbb36e397ca7,uredinales-belgium-checklist:taxon:9873eadf989af9eadd7e3211c4c67bd5,uredinales-belgium-checklist:taxon:a78e66106021bc74d36abbb36e397ca7,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 47"
uredinales-belgium-checklist:taxon:789cb1416ae0b77cfff9621ac5d34713,uredinales-belgium-checklist:taxon:18fa0206a41d1f34a6bb61f6a20380c1,uredinales-belgium-checklist:taxon:789cb1416ae0b77cfff9621ac5d34713,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 47"
uredinales-belgium-checklist:taxon:3e60ec09efce82defc07ff9986f14ed4,uredinales-belgium-checklist:taxon:71b8978472fba07edbc6b0571c5467f4,uredinales-belgium-checklist:taxon:3e60ec09efce82defc07ff9986f14ed4,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 47"
uredinales-belgium-checklist:taxon:43e92a517f7e13eb0ffd7122e57777fb,uredinales-belgium-checklist:taxon:71b8978472fba07edbc6b0571c5467f4,uredinales-belgium-checklist:taxon:43e92a517f7e13eb0ffd7122e57777fb,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 48"
uredinales-belgium-checklist:taxon:e1b2c2174e49a57db55d2bbef0b995a9,uredinales-belgium-checklist:taxon:71b8978472fba07edbc6b0571c5467f4,uredinales-belgium-checklist:taxon:e1b2c2174e49a57db55d2bbef0b995a9,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 48"
uredinales-belgium-checklist:taxon:30ee77af56716a4393532a54ee080f3d,uredinales-belgium-checklist:taxon:71b8978472fba07edbc6b0571c5467f4,uredinales-belgium-checklist:taxon:30ee77af56716a4393532a54ee080f3d,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 48"
uredinales-belgium-checklist:taxon:5e661236b7d115f28e2ea52d78e0280e,uredinales-belgium-checklist:taxon:71b8978472fba07edbc6b0571c5467f4,uredinales-belgium-checklist:taxon:5e661236b7d115f28e2ea52d78e0280e,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 49"
uredinales-belgium-checklist:taxon:8a597bea5150375f6b1350b22f06a432,uredinales-belgium-checklist:taxon:05d5d6d11c46c8f344f7dd13fe6fed6d,uredinales-belgium-checklist:taxon:8a597bea5150375f6b1350b22f06a432,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 49"
uredinales-belgium-checklist:taxon:f5a017972417a8d711aa6a48370e70e4,uredinales-belgium-checklist:taxon:f5b94c5031509c6179fee3a2a5d62424,uredinales-belgium-checklist:taxon:f5a017972417a8d711aa6a48370e70e4,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 49"
uredinales-belgium-checklist:taxon:bb1ecfd31dca3b1a36887feba2884636,uredinales-belgium-checklist:taxon:8c8dc4b05935412641764993a0785a2d,uredinales-belgium-checklist:taxon:bb1ecfd31dca3b1a36887feba2884636,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 50"
uredinales-belgium-checklist:taxon:ebe870f37478f76f78a6717649e2c9da,uredinales-belgium-checklist:taxon:1aa338ee3dbe89e73922494c5ede40a6,uredinales-belgium-checklist:taxon:ebe870f37478f76f78a6717649e2c9da,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 50"
uredinales-belgium-checklist:taxon:1bceb87d434128221a9352e58c1da778,uredinales-belgium-checklist:taxon:da302f0bbbe3ecdd7b0a3944a164f909,uredinales-belgium-checklist:taxon:1bceb87d434128221a9352e58c1da778,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 50"
uredinales-belgium-checklist:taxon:99bd37d5daa6561b3dfe7a196c4c35fd,uredinales-belgium-checklist:taxon:cb630a859dc397ebfdcdff4e984d5866,uredinales-belgium-checklist:taxon:99bd37d5daa6561b3dfe7a196c4c35fd,parasite of,"Vanderweyen A & Fraiture A (2012) Catalogue des Uredinales de Belgique, 3ème partie, Pucciniaceae (genre Puccinia). Lejeunia, Revue de Botanique. Page: 50"
uredinales-belgium-checklist:taxon:8fe069e7f3228441fb405002b038aaf1,uredinales-belgium-checklist:taxon:ef34a2608fe36bd7703bf8b080605df7,uredinales-belgium-checklist:taxon:8fe069e7f3228441fb405002b038aaf1,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11"
uredinales-belgium-checklist:taxon:cf04e2617aba99a239404b150dd8f933,uredinales-belgium-checklist:taxon:cbf7427c90512ca36cbb2b484d678ffc,uredinales-belgium-checklist:taxon:cf04e2617aba99a239404b150dd8f933,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11"
uredinales-belgium-checklist:taxon:8f40d1f544b697192379f3573ae269d8,uredinales-belgium-checklist:taxon:f5c8ed91f1810ce1067fd00d47f946ea,uredinales-belgium-checklist:taxon:8f40d1f544b697192379f3573ae269d8,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:906765b70ce7ae6a8830ea9f7ea352f4,uredinales-belgium-checklist:taxon:91a9531cbae0337b16cdca309f200e7a,uredinales-belgium-checklist:taxon:906765b70ce7ae6a8830ea9f7ea352f4,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:8e55e76ae542346be4dfe62032aef53b,uredinales-belgium-checklist:taxon:5c7edc7e7e3ec79fe468ec9cf0bbcb88,uredinales-belgium-checklist:taxon:8e55e76ae542346be4dfe62032aef53b,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:aafacca828222e60fccc696da7ea3a36,uredinales-belgium-checklist:taxon:fe55921a30cd9a55afa67b1b0fd5ee85,uredinales-belgium-checklist:taxon:aafacca828222e60fccc696da7ea3a36,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
uredinales-belgium-checklist:taxon:90d6fe85dea087e7498c225b84f9b6f3,uredinales-belgium-checklist:taxon:a5ef8addaa0ff3cd7a721db659aa043c,uredinales-belgium-checklist:taxon:90d6fe85dea087e7498c225b84f9b6f3,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
uredinales-belgium-checklist:taxon:0dc0649e0c025283a048dd3f5bd87ad7,uredinales-belgium-checklist:taxon:8923a77581146838040aaa4cf52ad61e,uredinales-belgium-checklist:taxon:0dc0649e0c025283a048dd3f5bd87ad7,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
uredinales-belgium-checklist:taxon:eb70dfc7c93a1474d5c9511813562f4e,uredinales-belgium-checklist:taxon:d6bd1578b33310aa7584a580f331a340,uredinales-belgium-checklist:taxon:eb70dfc7c93a1474d5c9511813562f4e,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
uredinales-belgium-checklist:taxon:d620cbe6ee067694f32580d1215f2ed7,uredinales-belgium-checklist:taxon:ea5ed4e2771a11a6d86670ada8f402ce,uredinales-belgium-checklist:taxon:d620cbe6ee067694f32580d1215f2ed7,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
uredinales-belgium-checklist:taxon:c350f3f4b858d8159f4d561c6bc84e44,uredinales-belgium-checklist:taxon:ea5ed4e2771a11a6d86670ada8f402ce,uredinales-belgium-checklist:taxon:c350f3f4b858d8159f4d561c6bc84e44,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
uredinales-belgium-checklist:taxon:ac820979a45a19fb30a5fd2c286bd1ed,uredinales-belgium-checklist:taxon:93be540e8d7d30ec30c38d612fd08f7c,uredinales-belgium-checklist:taxon:ac820979a45a19fb30a5fd2c286bd1ed,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
