"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate","source"
"uredinales-belgium-checklist:taxon:9957bd9c8b75cd9231e566da1955b4be","ISO_3166-2:BE","Belgium","BE","present","introduced","1878-04/2006-04-23","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:5baefb1cc0bc48544fa99cef0e18a500","ISO_3166-2:BE","Belgium","BE","present","introduced","1856-08-20/1997-10-16","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:c85be5aa36424a4781d2aaa3772f0be0","ISO_3166-2:BE","Belgium","BE","present","","1889-07","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:c104ec5fdc2c3a298734df875cd85c93","ISO_3166-2:BE","Belgium","BE","present","","2000-09-20","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:e798699c9617181732cde7b9145cced5","ISO_3166-2:BE","Belgium","BE","present","","1999-10-09/1999-10-10","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 22"
"uredinales-belgium-checklist:taxon:89f4bcf21aac1c392ae7a7aa13572647","ISO_3166-2:BE","Belgium","BE","present","","1923-08-28","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 22"
"uredinales-belgium-checklist:taxon:8db7c0c1f0fba8347d007c7a6657ba37","ISO_3166-2:BE","Belgium","BE","present","introduced","1884-09/2006-06-26","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 22"
"uredinales-belgium-checklist:taxon:fe99c6d9561bdf72f76c48576f6f09e4","ISO_3166-2:BE","Belgium","BE","present","","1996-02-12/2007-01-29","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 22"
"uredinales-belgium-checklist:taxon:5d638a409e6e5ec1a179f9ebf35a2816","ISO_3166-2:BE","Belgium","BE","present","introduced","1885-05/1904-05-18","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 22"
"uredinales-belgium-checklist:taxon:c17ac082dad4b85c583cd91e8fadb24e","ISO_3166-2:BE","Belgium","BE","present","","1896-06-28","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 23"
"uredinales-belgium-checklist:taxon:1f707332aab50f779cbe87cf4d2af9ee","ISO_3166-2:BE","Belgium","BE","present","alien","1996-05-14/2004-08-17","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 11"
"uredinales-belgium-checklist:taxon:6f221ecd0c44473cb681e0149e7d3653","ISO_3166-2:BE","Belgium","BE","present","","1885/1885","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 11"
"uredinales-belgium-checklist:taxon:59128ec6fa156bbbfc1de13ceb74a601","ISO_3166-2:BE","Belgium","BE","present","","1919-05-18/1956","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:534ac53c6991764e583213923739f679","ISO_3166-2:BE","Belgium","BE","present","introduced","1917-06-14/2008-04-17","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:f6d717f78f71db3a04aa2c1fc31e02d7","ISO_3166-2:BE","Belgium","BE","present","alien","1879-07/1882-06","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:4be9e55981639b6c2313df107c9f3a00","ISO_3166-2:BE","Belgium","BE","present","","1884-10-05/1902-08","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:cbc6cf54cc78296cfce736fb06521635","ISO_3166-2:BE","Belgium","BE","present","alien","1878-07/2008-10-02","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 13"
"uredinales-belgium-checklist:taxon:e508d8060b63e3f6293e2cedecd4f575","ISO_3166-2:BE","Belgium","BE","present","","1997-09-30/2000-08-16","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 14"
"uredinales-belgium-checklist:taxon:81842bf5fb03b86dacfe6ca5d5dcf72b","ISO_3166-2:BE","Belgium","BE","present","","1922-08/1922-08","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 14"
"uredinales-belgium-checklist:taxon:a4194bee7e6eef7367888241b0a4ae8c","ISO_3166-2:BE","Belgium","BE","doubtful","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 14"
"uredinales-belgium-checklist:taxon:ff7f86c10c86c26ce6fbb3d5d4cd956a","ISO_3166-2:BE","Belgium","BE","present","","1919-08/1995-11-14","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 14"
"uredinales-belgium-checklist:taxon:5c448468d6f0ce0067c82a9ffc9e9481","ISO_3166-2:BE","Belgium","BE","present","","1885-10/1916-10-10","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 15"
"uredinales-belgium-checklist:taxon:47520e3453705a0a326d6334c9b2cd96","ISO_3166-2:BE","Belgium","BE","present","","1901-08-14/1901-08-14","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 15"
"uredinales-belgium-checklist:taxon:4acf18489f28ee9204a49c58ef90cd3e","ISO_3166-2:BE","Belgium","BE","doubtful","","1867/1867","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 15"
"uredinales-belgium-checklist:taxon:a16ce6c54a0ebbf616538ca658cf29d0","ISO_3166-2:BE","Belgium","BE","present","","1996-10-11/1996-10-11","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 15"
"uredinales-belgium-checklist:taxon:84ca933ae54d1afbfeebae920878b855","ISO_3166-2:BE","Belgium","BE","doubtful","","1898/1898","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 16"
"uredinales-belgium-checklist:taxon:8b039e480746ec727316c1ad56ed8759","ISO_3166-2:BE","Belgium","BE","doubtful","alien","1876/1876","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 16"
"uredinales-belgium-checklist:taxon:b0a0df79dcce17ac2821edc3d94608ba","ISO_3166-2:BE","Belgium","BE","present","introduced","1878-04-17/2004-03-21","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 16"
"uredinales-belgium-checklist:taxon:d2a373f0bb80c10c5f1fdf13ef15a591","ISO_3166-2:BE","Belgium","BE","doubtful","alien","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:aef1197446c5d490d0a34afcb570736d","ISO_3166-2:BE","Belgium","BE","present","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:b474e9e991e1655a39f8f05fbdd61f09","ISO_3166-2:BE","Belgium","BE","doubtful","","1898/1898","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:4dbf77da2394ae83a857a8fd23076d61","ISO_3166-2:BE","Belgium","BE","present","","1920-08-10/1920-08-10","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 18"
"uredinales-belgium-checklist:taxon:ac3a761f1ff629f7dddb52f53d202a21","ISO_3166-2:BE","Belgium","BE","present","","1997-10-24/1997-10-24","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 18"
"uredinales-belgium-checklist:taxon:95ec39d2799da222fb52069955568264","ISO_3166-2:BE","Belgium","BE","present","introduced","1901-05-04/2006-04-18","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 18"
