scientificName	catalogNumber	part	page	from	to	family	hostPlant	occurrenceStatus	establishmentMeans
Tranzschelia anemones (Pers.: Pers.) Nannf.	35	1	19	IV.1878	29.IV.1956	Uropyxidaceae	 Anemone nemorosa	present	native
Tranzschelia discolor (Fuckel) Tranzschel & M.A. Litv.	36	1	19	18.IX.2000	18.IX.2005	Uropyxidaceae	 Anemone coronaria,  Prunus domestica,  Prunus domestica subsp. italica	present	alien
Tranzschelia pruni-spinosae (Pers.: Pers.) Dietel	37	1	19	16.X.1997	02.X.2005	Uropyxidaceae	 Anemone,  Thalictrum,  Prunus spinosa 	present	
Triphragmium ulmariae (DC.) Link	38	1	19	30.V.1943	03.VI.2006	Raveneliaceae	 Filipendula ulmaria	present	native
Frommeëlla mexicana (Mains) J.W. McCain & J.F. Hennen	39	1	20	08.VI.2007	12.VI.2007	Phragmidiaceae	 Duchesnea indica	present	alien
Frommeëlla tormentillae (Fuckel) Cummins & Y. Hirats.	40	1	20	30.V.2000		Phragmidiaceae	 Potentilla erecta,  Potentilla anglica,  Potentilla reptans	present	
Kuehneola uredinis (Link) Arthur	41	1	20	19.V.1984	29.I.2007	Phragmidiaceae	 Rubus caesius,  Rubus fruticosus	present	
Phragmidium bulbosum (F. Strauss) Schltdl.	42	1	21	03.XI.2000	01.VIII.2006	Phragmidiaceae	 Rubus caesius,  Rubus fruticosus	present	
Phragmidium fragariae (DC.) Rabenh.	43	1	21	IV.1878	23.IV.2006	Phragmidiaceae	 Potentilla sterilis	present	native
Phragmidium mucronatum (Pers.: Pers.) Schltdl.	44	1	21	20.VIII.1856	16.X.1997	Phragmidiaceae	 Rosa arvensis,  Rosa canina,  Rosa corymbifera,  Rosa gallica var. centifolia,  Rosa spinosissima	present	native
Phragmidium potentillae (Pers.: Pers.) P. Karst.	45	1	21	VII.1889		Phragmidiaceae	 Potentilla anglica	present	
Phragmidium rosae-pimpinellifoliae Dietel	46	1	21	20.IX.2000		Phragmidiaceae	 Rosa spinosissima	present	
Phragmidium rubi-idaei (DC.) P. Karst.	47	1	22	09.X.1999	10.X.1999	Phragmidiaceae	 Rubus idaeus	present	
Phragmidium sanguisorbae (DC.) J. Schröt.	48	1	22	28.VIII.1923		Phragmidiaceae	 Sanguisorba minor	present	
Phragmidium tuberculatum Jul. Müll.	49	1	22	IX.1884	26.VI.2006	Phragmidiaceae	 Rosa arvensis,  Rosa canina,  Rosa rugosa	present	native
Phragmidium violaceum (Schultz) G. Winter	50	1	22	12.II.1996	29.I.2007	Phragmidiaceae	 Rubus caesius,  Rubus fruticosus	present	
Trachyspora intrusa (Grev.) Arthur	51	1	22	V.1885	18.V.1904	Phragmidiaceae	 Alchemilla vulgaris	present	native
Xenodochus carbonarius Schltdl.	52	1	23	28.VI.1896		Phragmidiaceae	 Sanguisorba officinalis	present	
Cumminsiella mirabilissima (Peck) Nannf.	53	2	11	14.5.1996	17.8.2004	Pucciniaceae	 Mahonia aquifolium,  Mahonia bealei	present	alien
Endophyllum euphorbiae-silvaticae (DC.) G. Winter	54	2	11	1885	1885	Pucciniaceae	 Euphorbia amygdaloides	present	
Endophyllum sempervivi (Alb. & Schwein.) de Bary	55	2	12	18.5.1919	1956	Pucciniaceae	 Sempervivum tectorum	present	
Gymnosporangium clavariiforme (Wulfen : Pers.) DC.	56	2	12	14.6.1917	17.4.2008	Pucciniaceae	 Crataegus monogyna,  Juniperus communis	present	native
Gymnosporangium confusum Plowr.	57	2	12	7/1879	6/1882	Pucciniaceae	 Mespilus germanica,  Cydonia oblonga,  Crataegus,  Juniperus sabina,  Juniperus virginiana	present	alien
Gymnosporangium cornutum Arthur ex F. Kern	58	2	12	05.10.1884	8.1902	Pucciniaceae	 Sorbus aucuparia,  Juniperus communis	present	
Gymnosporangium sabinae (Dicks.) G. Winter	59	2	13	VII.1878	02.X.2008	Pucciniaceae	 Pyrus calleryana,  Pyrus communis,  Pyrus communis subsp. pyraster,  Pyrus salicifolia f. pendula,  Juniperus x media,  Juniperus x pfitzeriana,  Juniperus sabina,  Juniperus virginiana	present	alien
Miyagia pseudosphaeria (Mont.) Jørst.	60	2	14	30.IX.1997	16.VIII.2000	Pucciniaceae	 Sonchus arvensis,  Sonchus asper,  Sonchus oleraceus,  Sonchus palustris	present	
Uromyces acetosae J. Schröt.	61	2	14	VIII.1922	VIII.1922	Pucciniaceae	 Rumex acetosa,  Rumex acetosella	present	
Uromyces aecidiiformis (F. Strauss) C.C. Rees	62	2	14			Pucciniaceae	 Fritillaria,  Lilium candidum,  Lilium martagon	doubtful	
Uromyces anthyllidis J. Schröt.	63	2	14	VIII.1919	14.XI.1995	Pucciniaceae	 Euphorbia,  Anthyllis vulneraria,  Medicago arabica,  Trifolium dubium,  Medicago minima,  Hippocrepis comosa,  Lupinus luteus	present	
Uromyces appendiculatus (Pers.: Pers.) Unger var. appendiculatus	64	2	15	X.1885	10.X.1916	Pucciniaceae	 Phaseolus vulgaris	present	
Uromyces armeriae Lév. ex J. Kickx f.	65	2	15	14.VIII.1901	14.VIII.1901	Pucciniaceae	 Armeria maritima	present	
Uromyces behenis (DC.) Unger	66	2	15	1867	1867	Pucciniaceae	 Silene vulgaris	doubtful	
Uromyces beticola (Bellynck) Boerema, Loer. & Hamers	67	2	15	11.X.1996	11.X.1996	Pucciniaceae	 Beta vulgaris	present	
Uromyces chenopodii (Duby) J. Schröt.	68	2	16	1898	1898	Pucciniaceae	 Suaeda	doubtful	
Uromyces croci Pass.	69	2	16	1876	1876	Pucciniaceae	 Crocus biflorus	doubtful	alien
Uromyces dactylidis G.H. Otth,	70	2	16	17.IV.1878	21.III.2004	Pucciniaceae	 Ranunculus acris,  Ranunculus ficaria,  Ranunculus repens,  Dactylis glomerata,  Festuca rubra,  Poa pratensis	present	native
Uromyces dianthi (Pers.: Pers.) Niessl	71	2	17			Pucciniaceae	 Dianthus chinensis	doubtful	alien
Uromyces ervi Westend.	72	2	17			Pucciniaceae	 Vicia hirsuta	present	
Uromyces erythronii (DC.) Pass.	73	2	17	1898	1898	Pucciniaceae	 Erythronium dens-canis	doubtful	
Uromyces euphorbiae-corniculati Jordi	74	2	18	10.VIII.1920	10.VIII.1920	Pucciniaceae	 Euphorbia cyparissias,  Lotus corniculatus	present	
Uromyces fallens (Arthur) F. Kern ex Barthol.	75	2	18	24.X.1997	24.X.1997	Pucciniaceae	 Trifolium pratense	present	
Uromyces ficariae (Schumach.) Fuckel	76	2	18	04.V.1901	18.IV.2006	Pucciniaceae	 Ranunculus ficaria	present	native
Uromyces geranii (DC.) Fr.	77	2	18	28.IX.1991	26.VI.1995	Pucciniaceae	 Geranium dissectum,  Geranium molle,  Geranium pusillum,  Geranium pyrenaicum	present	
Uromyces hedysari-obscuri (DC.) Carestía & Picc.	78	2	19			Pucciniaceae	 Hedysarum hedysaroides 	doubtful	alien
Uromyces junci (Desm.) Tul.	79	2	19	X.1889		Pucciniaceae	 Pulicaria dysenterica,  Juncus effusus,  Juncus conglomeratus,  Juncus inflexus,  Juncus subnodulosus	present	
Uromyces laburni (DC.) G.H. Otth	80	2	19	1888	1888	Pucciniaceae	 Euphorbia cyparissias,  Laburnum anagyroides,  Genistella sagittalis,  Cytisus scoparius,  Genista,  Chamaecytisus	present	
Uromyces limonii (DC.) Lév. ex Berk.	81	2	20	18.VIII.1957	18.VIII.1957	Pucciniaceae	 Limonium vulgare	present	
Uromyces lineolatus (Desm.) J. Schröt.	82	2	20			Pucciniaceae	 Glaux maritima,  Berula,  Oenanthe,  Pastinaca,  Sium,  Apium,  Torilis,  Daucus,  Bolboschoenus maritimus	present	
Uromyces minor J. Schröt.	83	2	20	17.VII.1999	17.VII.1999	Pucciniaceae	 Trifolium campestre,  Trifolium dubium,  Trifolium pratense,  Trifolium montanum	present	
Uromyces muscari (Duby) Lév. ex L. Graves	84	2	20	1860	1881	Pucciniaceae	 Hyacinthoides non-scripta,  Muscari,  Ornithogalum,  Scilla	present	
Uromyces pisi (DC.) G.H. Otth	85	2	20	1864	24.V.1998	Pucciniaceae	 Euphorbia cyparissias,  Euphorbia esula,  Lathyrus pratensis,  Pisum sativum,  Lathyrus sylvestris	present	native
Uromyces polygoni-avicularis (Pers.: Pers.) P. Karst.	86	2	21	VI.1901	28.VII.1999	Pucciniaceae	 Polygonum aviculare,  Rumex acetosella	present	native
Uromyces proëminens (DC.) Pass. in Rabenh.	87	2	21			Pucciniaceae	 Euphorbia chamaesyce	doubtful	alien
Uromyces rumicis (Schumach.) G. Winter	88	2	21	04.IX.1999		Pucciniaceae	 Ranunculus ficaria,  Rumex acetosa,  Rumex acetosella,  Rumex crispus,  Rumex hydrolapathum,  Rumex obtusifolius,  Rumex palustris	present	
Uromyces salicorniae de Bary	89	2	22	1898		Pucciniaceae	 Salicornia	doubtful	
Uromyces scrophulariae Fuckel	90	2	22			Pucciniaceae	 Scrophularia nodosa	present	
Uromyces scutellatus (Schrank: Pers.) Lév. ex Tul.	91	2	22	08.V.1956	22.V.1978	Pucciniaceae	 Euphorbia cyparissias,  Euphorbia esula	present	
Uromyces sparsus (J.C. Schmidt & Kunze) Lév. ex Cooke	92	2	23			Pucciniaceae	 Spergularia marina,  Spergularia media,  Spergularia rubra	doubtful	
Uromyces striatus J. Schröt.	93	2	23	03.VIII.1920	09.IX.1995	Pucciniaceae	 Euphorbia cyparissias,  Medicago lupulina,  Trifolium	present	
Uromyces trifolii (R. Hedw. ex DC.) Fuckel	94	2	23	X.1885	16.IX.1996	Pucciniaceae	 Trifolium repens,  Trifolium fragiferum	present	native
Uromyces trifolii-repentis Liro ex Liro	95	2	24	22.VIII.1875	12.IX.1991	Pucciniaceae	 Trifolium fragiferum,  Trifolium hybridum var. elegans,  Trifolium repens,  Trifolium hybridum	present	native
Uromyces tuberculatus (Fuckel) Fuckel	96	2	24	VII.1902		Pucciniaceae	 Euphorbia exigua	present	
Uromyces valerianae (DC.) Fuckel	97	2	24	05.VI.1994		Pucciniaceae	 Valeriana dioica,  Valeriana repens,  Valeriana wallrothii	present	
Uromyces veratri (DC.) J. Schröt.	98	2	24	XI.1852		Pucciniaceae	 Cacalia,  Adenostyles alliariae,  Veratrum album	present	alien
Uromyces viciae-fabae var. orobi (Schumach.) Jørst.	99	2	25	VIII.1887	29.VIII.1901	Pucciniaceae	 Lathyrus linifolius var. montanus	present	
Uromyces viciae-fabae J. Schröt. var. viciae-fabae 	100	2	25	08.X.1895	02.X.2005	Pucciniaceae	 Lathyrus odoratus,  Vicia cracca,  Vicia faba,  Vicia hirsuta,  Vicia sativa,  Vicia sepium	present	
