scientificName	catalogNumber	part	page	from	to	family	hostPlant	occurrenceStatus	establishmentMeans
Puccinia lapsanae Fuckel 	171	3	30	14.X.1857	24.III.2011	Pucciniaceae	 Lapsana communis	present	native
Puccinia libanotidis Lindr. 	172	3	30	X.1890		Pucciniaceae	 Seseli libanotis	present	
Puccinia liliacearum Duby 	173	3	30	16.V.1899	12.IV.2010	Pucciniaceae	 Ornithogalum pyrenaicum,  Ornithogalum umbellatum	present	native
Puccinia longissima J. Schröt. 	174	3	31	16.IV.1897		Pucciniaceae	 Sedum rupestre,  Sedum acre,  Koeleria	present	
Puccinia luzulae Lib. 	175	3	31	13.IX.1917		Pucciniaceae	 Luzula campestris,  Luzula pilosa	present	
Puccinia magnusiana Körn. 	176	3	31	24.VI.1860	18.X.2008	Pucciniaceae	 Ranunculus repens,  Phragmites australis	present	native
Puccinia major (Dietel) Dietel 	177	3	31	20.V.2004		Pucciniaceae	 Crepis biennis,  Crepis paludosa	present	
Puccinia malvacearum Bertero ex Mont. 	178	3	31	VIII.1880	21.V.2010	Pucciniaceae	 Alcea rosea,  Althaea,  Malva moschata,  Malva neglecta,  Malva sylvestris	present	native
Puccinia mei-mamillata Semadeni 	179	3	32	17.V.2009	26.VI.2010	Pucciniaceae	 Angelica sylvestris,  Persicaria bistorta	present	
Puccinia menthae Pers.: Pers. 	180	3	32	19.IX.1999	05.IX.2005	Pucciniaceae	 Mentha aquatica, Clinopodium vulgare,  Origanum vulgare,  Satureja hortensis,  Thymus vulgaris	present	
Puccinia moliniae Tul. 	181	3	33			Pucciniaceae	 Melampyrum,  Prunella,  Origanum,  Molinia caerulea	present	
Puccinia montana Fuckel 	182	3	33			Pucciniaceae	 Centaurea montana	doubtful	
Puccinia morthieri Körn. 	183	3	33			Pucciniaceae	 Geranium sylvaticum	doubtful	
Puccinia nigrescens Kirchn. 	184	3	33			Pucciniaceae	 Salvia verticillata	doubtful	alien
Puccinia nitida (F. Strauss) Röhl. 	185	3	34	X.1860	16.X.1997	Pucciniaceae	 Aethusa cynapium	present	native
Puccinia obscura J. Schröt. 	186	3	34	24.IV.1988	14.III.2010	Pucciniaceae	 Bellis perennis,  Luzula campestris	present	
Puccinia oreoselini (F. Strauss) Fuckel 	187	3	34			Pucciniaceae	 Peucedanum oreoselinum	doubtful	alien
Puccinia oxalidis Dietel & Ellis 	188	3	35			Pucciniaceae	 Oxalis debilis,  Oxalis latifolia	present	alien
Puccinia paludosa Plowr. 	189	3	35			Pucciniaceae	 Pedicularis palustris,  Carex nigra,  Carex riparia	present	
Puccinia passerinii J. Schröt.	190	3	35	1880	20.VI.1901	Pucciniaceae	 Thesium humifusum	present	native
Puccinia pazschkei Dietel 	191	3	35	11.VII.1895		Pucciniaceae	 Saxifraga	present	alien
Puccinia perplexans Plowr. 	192	3	36	VI.1904	25.V.2003	Pucciniaceae	 Ranunculus acris,  Alopecurus pratensis	present	native
Puccinia persistens Plowr.	193	3	36	VI.1896	12.VII.2008	Pucciniaceae	 Aquilegia vulgaris,  Clematis vitalba,  Thalictrum flavum,  Aconitum,  Actaea,  Anemone,  Hepatica,  Elymus repens,  Elymus athericus,  Secale cereale,  Agrostis,  Bromus,  Hordelymus,  Hordeum,  Milium	present	native
Puccinia phragmitis (Schumach.) Körn. 	194	3	36	17.IX.1878	08.V.2011	Pucciniaceae	 Rumex obtusifolius,  Rheum,  Phragmites australis	present	native
Puccinia pimpinellae (F. Strauss) Röhl. 	195	3	37	V.1852	X.1899	Pucciniaceae	 Pimpinella major,  Pimpinella saxifraga	present	
Puccinia plantaginis Westend. 	196	3	38			Pucciniaceae	 Scorzonera humilis	present	
Puccinia poarum E.Nielsen 	197	3	38	VIII.1865	03.VII.1975	Pucciniaceae	 Tussilago farfara,  Poa nemoralis	present	native
Puccinia polygoni Alb. & Schwein. var. polygoni 	198	3	38	X.1882	19.IX.1997	Pucciniaceae	 Geranium,  Fallopia convolvulus,  Fallopia dumetorum	present	native
Puccinia polygoni-amphibii Pers.: Pers. 	199	3	39	20.X.1855	22.IX.1995	Pucciniaceae	 Geranium,   Persicaria amphibia,  Persicaria maculosa	present	native
Puccinia porphyrogenita M.A. Curtis 	200	3	39			Pucciniaceae	 Cornus canadensis	doubtful	alien
Puccinia prenanthis (Schumach.) Kunze 	201	3	39			Pucciniaceae	 Mycelis muralis,  Prenanthes purpurea,  Cicerbita alpina	doubtful	
Puccinia primulae Duby 	202	3	40			Pucciniaceae	 Primula vulgaris,  Primula veris,  Primula elatior	doubtful	
Puccinia pulverulenta Grev.	203	3	40	IX.1852	22.VI.2010	Pucciniaceae	 Epilobium hirsutum,  Epilobium montanum,  Epilobium palustre,  Epilobium roseum	present	native
Puccinia punctata Link 	204	3	40	25.VIII.1901	09.XI.1999	Pucciniaceae	 Cruciata laevipes,  Galium aparine,  Galium mollugo,  Galium verum	present	
Puccinia punctiformis (F. Strauss) Röhl. 	205	3	41	XI.1901	21.V.2009	Pucciniaceae	 Cirsium arvense	present	native
Puccinia pygmaea Erikss. 	206	3	41	24.IX.1997		Pucciniaceae	 Berberis,  Mahonia,  Calamagrostis epigejos,  Agrostis,  Ammophila,  Calamagrostis,  Festuca	present	
Puccinia recondita Rob. ex Desm. ss. str. 	207	3	42	21.VII.1902	VIII.1955	Pucciniaceae	 Anchusa,  Secale cereale	present	
Puccinia ribis DC. 	208	3	42			Pucciniaceae	 Ribes spicatum	doubtful	
Puccinia rumicis Bellynck	209	3	42	VII.1889		Pucciniaceae	 Rumex scutatus	present	
Puccinia saniculae Grev. 	210	3	42			Pucciniaceae	 Sanicula europaea	present	
Puccinia saxifragae Schltdl. 	211	3	42			Pucciniaceae	 Saxifraga	doubtful	
Puccinia schroeteri Pass. 	212	3	43	VII.1887		Pucciniaceae	 Narcissus pseudonarcissus	present	
Puccinia scirpi DC. 	213	3	43	19.II.1899		Pucciniaceae	 Nymphoides peltata,  Schoenoplectus lacustris	present	
Puccinia senecionis Lib.	214	3	43			Pucciniaceae	 Senecio ovatus	present	
Puccinia sessilis Schneid ex J. Schröt. 	215	3	43	01.VI.1891	15.V.2010	Pucciniaceae	 Allium ursinum,  Arum maculatum,  Convallaria majalis,  Listera ovata,  Paris quadrifolia,  Maianthemum bifolium,  Orchis militaris,  Polygonatum,  Phalaris arundinacea	present	native
Puccinia sii-falcariae J. Schröt. 	216	3	44			Pucciniaceae	 Falcaria vulgaris	doubtful	
Puccinia smyrnii Biv. 	217	3	44			Pucciniaceae	 Smyrnium olusatrum	doubtful	alien
Puccinia soldanellae Fuckel 	218	3	45			Pucciniaceae	 Soldanella	doubtful	alien
Puccinia sorghi Schwein. 	219	3	45	06.X.1997		Pucciniaceae	 Oxalis	present	alien
Puccinia striiformis Westend. 	220	3	45	29.V.1916		Pucciniaceae	 Agrostis canina,  Brachypodium sylvaticum,  Bromus hordeaceus,  Elymus caninus,  Elymus repens,  Hordeum murinum,  Hordeum vulgare,  Secale cereale,  Triticum sp.	present	
Puccinia subnitens Dietel 	221	3	45			Pucciniaceae	 Chenopodium album,  Chenopodium glaucum,  Distichlis	doubtful	alien
Puccinia tanaceti DC.	222	3	46	02.XI.1857	28.IX.2009	Pucciniaceae	 Artemisia absinthium,  Artemisia vulgaris,   Tanacetum vulgare,  Chrysanthemum	present	
Puccinia thesii Chaillet 	223	3	46			Pucciniaceae	 Thesium linophyllon	doubtful	
Puccinia triticina Erikss. 	224	3	46	22.VII.1902	29.VII.1996	Pucciniaceae	 Thalictrum,  Triticum aestivum	present	native
Puccinia uliginosa Juel 	225	3	47	VI.1901		Pucciniaceae	 Parnassia palustris,  Carex nigra	present	
Puccinia umbilici Guépin 	226	3	47			Pucciniaceae	 Umbilicus pendulinus,  Umbilicus rupestris,  Rhodiola rosea	doubtful	alien
Puccinia urticata F. Kern 	227	3	47	IV.1878	15.V.2010	Pucciniaceae	 Urtica dioica,  Urtica urens,  Carex	present	native
Puccinia urticata var. urticae-acutae (Kleb.) Zwetko 	228	3	48	19.IX.1999		Pucciniaceae	 Urtica dioica,  Urtica urens,  Carex acuta,  Carex nigra,  Carex elata	present	
Puccinia urticata var. urticae-acutiformis (Kleb.) Zwetko 	229	3	48	19.III.1988		Pucciniaceae	 Urtica dioica,  Urtica urens,  Carex acutiformis	present	
Puccinia urticata var. urticae-hirtae (Kleb.) Zwetko 	230	3	48	II.1898		Pucciniaceae	 Urtica dioica,  Urtica urens,  Carex hirta	present	
Puccinia urticata var. urticae-ripariae (Hasler) Zwetko 	231	3	49	24.III.1997		Pucciniaceae	 Urtica dioica,  Urtica urens,  Carex riparia	present	
Puccinia variabilis Grev. 	232	3	49	VIII.1880	09.XI.1999	Pucciniaceae	 Taraxacum officinale	present	native
Puccinia veronicae (Schumach.) G. Winter	233	3	49	VII.1883	26.VI.1943	Pucciniaceae	 Veronica montana	present	native
Puccinia veronicarum DC. 	234	3	50	VII.1886		Pucciniaceae	 Veronica officinalis,  Veronica longifolia,  Veronica spicata,  Veronica urticifolia	present	
Puccinia vincae Berk. 	235	3	50	25.VII.1955	12.VI.2001	Pucciniaceae	 Vinca major,  Vinca	present	
Puccinia violae DC. 	236	3	50	17.IX.1994		Pucciniaceae	 Viola riviniana	present	
Puccinia virgae-aureae (DC.) Lib. 	237	3	50			Pucciniaceae	 Solidago virgaurea	present	
