scientificName	catalogNumber	part	page	from	to	eventDate	taxonRank	family	associatedTaxa	occurrenceStatus	Column
Melampsora hypericorum G. Winter	26	1	17				species	Melampsoraceae	parasite of: Hypericum androsaemum| parasite of: Hypericum calycinum| parasite of: Hypericum hirsutum| parasite of: Hypericum humifusum	present	
Melampsora laricis-pentandrae Kleb.	27	1	17				species	Melampsoraceae	parasite of: Larix| parasite of: Salix pentandra| parasite of: Salix fragilis x Salix pentandra	doubtful	
Melampsora laricis-populina Kleb.	28	1	17	22.VII.1917	06.IX.2006	1917-07-22/2006-09-06	species	Melampsoraceae	parasite of: Larix decidua| parasite of: Populus balsamifera| parasite of: Populus x canadensis| parasite of: Populus deltoides| parasite of: Populus nigra| parasite of: Populus serotina 	present	
Melampsora lini (Ehrenb.) Lév. ex Desm.  var. lini	29	1	17	27.VI.1897		1897-06-27	variety	Melampsoraceae	parasite of: Linum catharticum	present	
Melampsora lini var. liniperda Körn.	30	1	18				variety	Melampsoraceae	parasite of: Linum usitatissimum 	present	
Melampsora populnea (Pers.: Pers.) P. Karst.	31	1	18	1887	24.X.2004	1887/2004-10-24	species	Melampsoraceae	parasite of: Larix decidua| parasite of: Mercurialis perennis| parasite of: Pinus sylvestris| parasite of: Populus alba| parasite of: Populus balsamifera| parasite of: Populus x canadensis| parasite of: Populus x canescens| parasite of: Populus monilifera| parasite of: Populus nigra| parasite of: Populus tremula	present	
Melampsora ribis-viminalis Kleb.	32	1	18	17.VIII.1999		1999-08-17	species	Melampsoraceae	parasite of: Ribes| parasite of: Salix x sericans| parasite of: Salix viminalis	present	
Melampsora salicis-albae Kleb.	33	1	18	19.IX.1997		1997-09-19	species	Melampsoraceae	parasite of: Allium ursinum| parasite of: Salix alba| parasite of: Salix pentandra	present	
Ochropsora ariae (Fuckel) Ramsb.	34	1	18	04.V.1879	VII.1882	1879-05-04/1882-07	species	Chaconiaceae  	parasite of: Anemone nemorosa| parasite of: Sorbus aucuparia| parasite of: Amelanchier| parasite of: Malus| parasite of: Prunus| parasite of: Pyrus	present	
Tranzschelia anemones (Pers.: Pers.) Nannf.	35	1	19	IV.1878	29.IV.1956	1878-04/1956-04-29	species	Uropyxidaceae	parasite of: Anemone nemorosa	present	native
Tranzschelia discolor (Fuckel) Tranzschel & M.A. Litv.	36	1	19	18.IX.2000	18.IX.2005	2000-09-18/2005-09-18	species	Uropyxidaceae	parasite of: Anemone coronaria| parasite of: Prunus domestica| parasite of: Prunus domestica subsp. Italica	present	alien
Tranzschelia pruni-spinosae (Pers.: Pers.) Dietel	37	1	19	16.X.1997	02.X.2005	1997-10-16/2005-10-02	species	Uropyxidaceae	parasite of: Anemone| parasite of: Thalictrum| parasite of: Prunus spinosa 	present	
Triphragmium ulmariae (DC.) Link	38	1	19	30.V.1943	03.VI.2006	1943-05-30/2006-06-03	species	Raveneliaceae	parasite of: Filipendula ulmaria	present	native
Frommeëlla mexicana (Mains) J.W. McCain & J.F. Hennen	39	1	20	08.VI.2007	12.VI.2007	2007-06-08/2007-06-12	species	Phragmidiaceae	parasite of: Duchesnea indica	present	alien
Frommeëlla tormentillae (Fuckel) Cummins & Y. Hirats.	40	1	20	30.V.2000		2000-05-30	species	Phragmidiaceae	parasite of: Potentilla erecta| parasite of: Potentilla anglica| parasite of: Potentilla reptans	present	
Kuehneola uredinis (Link) Arthur	41	1	20	19.V.1984	29.I.2007	1984-05-19/2007-01-29	species	Phragmidiaceae	parasite of: Rubus caesius| parasite of: Rubus fruticosus	present	
Phragmidium bulbosum (F. Strauss) Schltdl.	42	1	21	03.XI.2000	01.VIII.2006	2000-11-03/2006-08-01	species	Phragmidiaceae	parasite of: Rubus caesius| parasite of: Rubus fruticosus	present	
Phragmidium fragariae (DC.) Rabenh.	43	1	21	IV.1878	23.IV.2006	1878-04/2006-04-23	species	Phragmidiaceae	parasite of: Potentilla sterilis	present	native
Phragmidium mucronatum (Pers.: Pers.) Schltdl.	44	1	21	20.VIII.1856	16.X.1997	1856-08-20/1997-10-16	species	Phragmidiaceae	parasite of: Rosa arvensis| parasite of: Rosa canina| parasite of: Rosa corymbifera| parasite of: Rosa gallica var. centifolia| parasite of: Rosa spinosissima	present	native
Phragmidium potentillae (Pers.: Pers.) P. Karst.	45	1	21	VII.1889		1889-07	species	Phragmidiaceae	parasite of: Potentilla anglica	present	
Phragmidium rosae-pimpinellifoliae Dietel	46	1	21	20.IX.2000		2000-09-20	species	Phragmidiaceae	parasite of: Rosa spinosissima	present	
Phragmidium rubi-idaei (DC.) P. Karst.	47	1	22	09.X.1999	10.X.1999	1999-10-09/1999-10-10	species	Phragmidiaceae	parasite of: Rubus idaeus	present	
Phragmidium sanguisorbae (DC.) J. Schröt.	48	1	22	28.VIII.1923		1923-08-28	species	Phragmidiaceae	parasite of: Sanguisorba minor	present	
Phragmidium tuberculatum Jul. Müll.	49	1	22	IX.1884	26.VI.2006	1884-09/2006-06-26	species	Phragmidiaceae	parasite of: Rosa arvensis| parasite of: Rosa canina| parasite of: Rosa rugosa	present	native
Phragmidium violaceum (Schultz) G. Winter	50	1	22	12.II.1996	29.I.2007	1996-02-12/2007-01-29	species	Phragmidiaceae	parasite of: Rubus caesius| parasite of: Rubus fruticosus	present	
Trachyspora intrusa (Grev.) Arthur	51	1	22	V.1885	18.V.1904	1885-05/1904-05-18	species	Phragmidiaceae	parasite of: Alchemilla vulgaris	present	native
Xenodochus carbonarius Schltdl.	52	1	23	28.VI.1896		1896-06-28	species	Phragmidiaceae	parasite of: Sanguisorba officinalis	present	
Cumminsiella mirabilissima (Peck) Nannf.	53	2	11	14.5.1996	17.8.2004	1996-05-14/2004-08-17	species	Pucciniaceae	parasite of: Mahonia aquifolium| parasite of: Mahonia bealei	present	alien
